,login,start_date,era
0,Akshit6828,2021-05-04 21:09:58,post
1,AlbertWhitlock,2021-01-04 16:35:35,during
2,Amisha328,2021-05-02 02:18:42,
3,BukrosSzabolcs,2019-08-12 09:08:06,pre
4,DomGarguilo,2020-11-16 15:36:26,during
5,DonResnik,2019-04-08 00:22:20,pre
6,FineAndDandy,2019-02-22 16:47:05,pre
7,KikiManjaro,2022-02-20 15:16:18,post
8,Manno15,2019-01-24 16:50:08,pre
9,MrDLontheway,2019-01-25 01:07:04,pre
10,MuazmaZ,2020-02-11 15:29:33,pre
11,Shivakumar-SG,2021-08-03 11:59:37,post
12,andrewglowacki,2019-02-13 01:19:02,pre
13,arvindshmicrosoft,2019-11-12 15:35:48,pre
14,bd2019us,2019-04-14 04:49:43,pre
15,belugabehr,2019-08-09 14:29:09,pre
16,benkelly,2020-07-23 10:31:57,during
17,billierinaldi,2019-10-23 15:13:07,pre
18,classickartik,2021-07-14 21:01:15,post
19,cradal,2020-01-27 13:41:38,pre
20,cshannon,2022-07-02 18:48:36,post
22,d-hwang,2020-11-27 17:20:45,during
23,dlmarion,2020-08-11 11:57:06,during
24,elinaawise,2019-04-11 16:47:43,pre
25,etseidl,2019-09-18 18:53:06,pre
26,filipedfr,2022-01-13 21:54:34,post
27,foster33,2021-05-24 15:16:45,post
28,harjitdotsingh,2021-03-24 03:28:53,during
29,hguercan,2021-04-30 22:56:10,during
30,hkeebler,2019-04-15 18:52:33,pre
31,jjmar11,2021-04-13 14:49:24,during
32,karthick-rn,2019-12-06 12:20:43,pre
33,kitswas,2022-04-27 16:45:12,post
35,lawynnj,2021-05-01 15:42:21,during
36,lbschanno,2020-09-08 14:19:54,during
37,mandarinamdar,2019-11-14 23:03:57,pre
38,markjens,2021-12-02 12:14:09,post
39,markxiaotao,2020-07-08 07:16:07,during
40,mjwall,2021-06-19 18:11:02,post
41,nicolasalarconrapela,2021-04-29 16:00:30,during
42,nikita-sirohi,2022-04-11 18:02:23,post
43,nosewings,2022-05-23 16:58:01,post
45,reggert,2019-07-07 23:08:44,pre
46,sjyang18,2021-01-25 22:11:12,during
47,skirklin,2022-06-09 17:46:00,post
49,slackwinner,2021-01-07 14:02:31,during
50,srajtiwari,2019-11-12 23:10:35,pre
51,syedmalimustafa,2021-04-26 18:52:10,during
52,tchaie,2022-04-29 20:00:24,post
54,trietopsoft,2021-11-17 18:18:40,post
55,tulikavijay,2021-10-29 16:20:15,post
56,tushardhadiwal,2020-04-20 21:10:56,during
57,tynyttie,2020-08-17 17:11:21,during
58,varunsh-coder,2022-09-10 18:43:13,post
60,wx930910,2021-08-08 05:37:25,post
