,login,start_date,era
0,24kpure,2021-06-24 10:53:17,post
1,54hechuan,2019-08-09 01:27:59,pre
2,896938034,2019-11-20 10:06:37,pre
3,AbelSara,2021-06-27 10:50:46,post
4,AlbumenJ,2019-09-27 09:21:08,pre
5,AlexRenCN,2019-11-29 06:19:23,pre
6,AnthonyKot,2019-07-16 12:51:18,pre
7,Augustvic,2021-03-28 11:10:49,during
8,Bentley-William,2022-06-28 06:01:21,post
9,Bo-Qiu,2022-06-24 07:17:18,post
10,Bricks-Man,2020-06-09 03:11:52,during
11,BurningCN,2020-12-01 04:13:35,during
12,CalvinKirs,2021-01-12 13:36:52,during
13,Chromico,2022-04-01 13:06:39,post
14,Codegass,2022-03-11 14:21:20,post
15,CodingSinger,2019-07-09 12:43:34,pre
16,Cyc1ops,2022-10-02 09:34:35,post
17,DIscord010,2020-02-27 02:07:06,pre
18,DangHT,2020-06-25 16:08:34,during
19,EarthChen,2022-04-13 06:46:15,post
20,FastAtlas,2021-09-07 10:10:31,post
21,GungnirLaevatain,2019-12-10 03:59:03,pre
22,Hansanshi,2019-11-21 01:21:07,pre
23,Hearen,2019-09-10 12:43:52,pre
24,Henrik-Yao,2022-04-16 02:58:33,post
25,HetaoWang,2021-11-11 04:38:43,post
26,HildoYe,2021-10-25 05:20:18,post
27,Hinsteny,2020-03-16 03:01:48,pre
28,HugeSkull,2020-03-12 19:32:35,pre
29,Huijing-Xu,2021-05-20 08:23:18,post
30,InstallingB,2019-11-19 02:03:32,pre
31,JasmineJ1230,2021-07-11 06:31:29,post
32,JavaLionLi,2022-09-26 09:55:56,post
33,JdjzV,2021-07-02 09:56:01,post
34,John-Smile,2019-03-10 15:01:43,pre
35,JooKS-me,2021-10-05 01:39:42,post
36,Kvicii,2020-04-11 15:08:10,during
37,LALAYANG,2021-08-09 05:43:15,post
38,Leishunyu,2019-07-18 03:00:48,pre
39,Likenttt,2021-08-17 03:56:46,post
40,LinShunKang,2019-11-20 12:30:50,pre
41,LiosWong,2022-05-14 11:52:45,post
42,OLPMO,2020-01-07 07:19:43,pre
43,RojerAlone,2019-06-27 07:54:44,pre
44,Technoboy-,2020-07-15 10:29:41,during
45,TianCheng88,2022-08-11 06:43:40,post
46,TigerTurbo,2022-03-29 01:48:03,post
47,TingSky,2019-07-05 09:03:31,pre
48,TrueAbc,2022-07-07 06:09:03,post
49,Trying-hc,2022-07-07 02:39:20,post
50,XIACYBING,2021-08-31 06:12:25,post
51,XiaoWeiKIN,2022-05-28 09:13:46,post
52,YoungHu,2022-05-07 12:55:01,post
53,ZakiFan,2021-05-19 02:53:03,post
54,a364176773,2021-06-19 08:20:29,post
55,akaakking,2022-10-23 13:01:46,post
56,alany9552,2021-10-31 03:49:50,post
57,anLA7856,2020-04-19 04:25:37,during
58,andyqian,2019-06-13 12:13:10,pre
59,aquariuspj,2019-03-07 17:09:28,pre
60,asa3311,2022-10-13 10:10:14,post
61,awayings,2019-02-20 06:13:55,pre
62,beiwei30,2019-09-07 15:50:03,pre
63,bigwg,2019-07-30 03:38:34,pre
64,brotherlu-xcq,2020-04-17 12:43:23,during
65,changfubai,2021-08-16 11:02:54,post
66,charish00,2019-08-21 07:37:35,pre
67,cheese8,2022-05-27 07:44:51,post
68,chenyanlann,2022-07-19 14:52:25,post
69,chenziqiang666,2022-07-07 07:04:31,post
70,cnjxzhao,2021-06-02 09:08:12,post
71,codeimport,2019-07-16 03:02:26,pre
72,complone,2022-01-02 01:58:23,post
73,conghuhu,2022-10-02 08:41:31,post
74,crossoverJie,2019-07-18 16:17:50,pre
75,dadadadudu,2022-08-19 09:14:59,post
76,dbolkensteyn,2019-10-04 07:55:39,pre
77,dgzpg,2021-07-10 10:06:03,post
78,dhchao11,2019-08-09 11:59:36,pre
79,diguage,2020-07-06 11:35:14,during
80,dj080808,2019-09-17 07:41:18,pre
81,dragon-zhang,2022-10-12 03:06:12,post
82,dreamer-nitj,2019-02-07 15:51:37,pre
83,fakefrog,2020-05-25 08:25:50,during
84,fanghuabing,2019-09-05 07:30:03,pre
85,fangliji,2021-07-02 14:33:19,post
86,finalcola,2019-07-19 06:25:42,pre
87,freekry,2019-08-10 13:20:01,pre
88,guohao,2021-03-01 06:50:07,during
89,haiyang1985,2019-10-12 10:29:12,pre
90,haoyann,2021-02-21 05:28:24,during
91,happytimor,2022-07-11 01:56:50,post
92,hboutemy,2020-04-01 02:53:24,during
93,hdyztmdqd,2022-06-13 16:03:21,post
94,hellosx,2020-03-26 10:03:40,pre
95,hengyunabc,2019-08-02 07:49:17,pre
96,hjq2016,2019-01-02 01:48:44,pre
97,horizonzy,2020-05-09 15:04:21,during
98,htynkn,2021-05-23 06:16:52,post
99,huangdx0726,2019-08-01 06:56:34,pre
100,huangwenkan9,2021-10-15 14:22:27,post
101,hunjipo,2021-06-29 02:24:07,post
102,huyuechy,2019-06-28 12:35:27,pre
103,icankeep,2021-04-30 06:56:03,during
104,icodening,2022-02-16 15:00:07,post
105,imuxi,2019-11-23 07:00:02,pre
106,islongfei,2021-11-15 06:37:12,post
107,iwhalecloud-platform,2019-07-09 06:42:42,pre
108,jamesxuhaozhe,2019-04-26 06:17:32,pre
109,jerrick-zhu,2021-11-02 03:54:59,post
110,jessin20161124,2022-01-09 02:39:32,post
111,jk-tonycui,2022-08-06 10:05:16,post
112,jobop,2022-08-16 10:31:05,post
113,juliuszhang,2020-05-07 06:13:01,during
114,juzi214032,2021-12-26 14:20:20,post
115,kaiyaok2,2022-05-01 12:58:29,post
116,kealdishx,2021-08-14 04:37:41,post
117,kevinten10,2021-06-30 03:29:17,post
118,kevinw66,2020-12-25 11:32:08,during
119,klebertarcisio,2020-05-13 19:51:40,during
120,klzami,2021-05-08 12:47:15,post
121,kunblue,2019-01-25 14:38:54,pre
122,kylixs,2020-10-20 10:54:33,during
123,laddcn,2020-02-01 04:05:50,pre
124,laosijikaichele,2022-01-12 04:59:21,post
125,lebron374,2020-05-31 09:50:51,during
126,leechor,2019-06-16 04:28:48,pre
127,leihuazhe,2019-07-01 07:33:22,pre
128,leizhiyuan,2021-08-27 03:26:05,post
129,levis9527,2022-03-07 03:26:24,post
130,leyou240,2021-05-08 06:27:38,post
131,likemoongg,2021-04-13 17:15:00,during
132,liufeiyu1002,2022-08-15 12:58:20,post
133,liugddx,2021-04-21 07:56:48,during
134,liujunzxcv,2019-04-21 15:21:25,pre
135,lixiaojiee,2022-10-26 03:50:53,post
136,lovepoem,2019-05-24 16:10:50,pre
137,luoning810,2020-05-13 07:18:09,during
138,luryson,2019-04-19 13:30:07,pre
139,manzhizhen,2019-02-03 15:38:10,pre
140,mawenlong1,2019-03-26 14:24:50,pre
141,maxiaoguang64,2019-12-06 02:25:50,pre
142,mayankkt9,2019-12-30 04:46:36,pre
143,mimihom,2019-05-20 00:41:08,pre
144,mjaow,2019-01-20 16:59:45,pre
145,monkeyWie,2021-11-19 07:38:20,post
146,mooseen,2020-02-04 12:29:49,pre
147,mr3,2021-06-10 02:42:42,post
148,mrhbj,2021-11-13 16:51:17,post
149,niejian,2021-03-09 08:59:30,during
150,nihongye,2019-03-07 12:17:46,pre
151,nineyang,2020-06-15 03:26:19,during
152,nullcodeexecutor,2019-06-17 15:17:48,pre
