,login,start_date,era
0,AElMehdi,2019-06-15 15:17:40,pre
1,AbdelHajou,2022-10-28 08:28:56,post
2,Dufgui,2021-04-25 08:30:34,during
3,Gakiii,2022-03-04 14:59:11,post
4,Giovds,2021-08-17 19:50:25,post
5,KroArtem,2019-12-07 23:18:34,pre
6,MartinKanters,2019-05-31 13:53:45,pre
7,PoojaChandak,2020-08-07 12:26:39,during
8,arturobernalg,2021-10-06 18:46:40,post
9,azaretsky,2019-10-08 17:56:42,pre
10,belingueres,2019-01-26 04:25:58,pre
11,blindpirate,2019-07-06 00:25:18,pre
12,bmarwell,2020-06-02 09:59:18,during
13,boris-unckel,2021-01-05 21:39:03,during
14,brianf,2022-06-06 19:13:29,post
15,caidezhi,2019-09-04 08:18:20,pre
16,cchacin,2019-09-18 23:51:13,pre
17,dehasi,2020-05-17 10:11:08,during
18,eolivelli,2020-05-10 14:51:07,during
19,ewiegs4,2019-10-01 20:01:33,pre
20,georgiosmakrhs,2020-10-24 15:23:54,during
21,gnodet,2019-06-25 06:30:27,pre
22,guylabs,2019-01-10 14:09:46,pre
23,hgschmie,2022-07-29 04:17:07,post
24,jmhodges,2021-12-29 09:24:45,post
25,jmtd,2021-09-29 10:24:29,post
26,johnlinp,2019-01-10 08:05:15,pre
27,khmarbaise,2019-12-28 22:44:53,pre
28,kthoms,2022-01-15 08:41:44,post
29,kwart,2022-07-12 13:54:59,post
30,kwin,2021-12-06 14:51:34,post
31,lgxbslgx,2021-09-20 03:53:31,post
32,lujiefsi,2021-10-09 02:27:09,post
33,maoshuai,2019-03-24 08:37:15,pre
34,mbruggmann,2020-09-10 13:14:03,during
35,mickroll,2020-08-03 10:22:05,during
36,mthmulders,2020-01-29 09:07:02,pre
37,oehme,2019-03-06 14:31:49,pre
38,pzygielo,2020-06-15 08:02:03,during
39,rfscholte,2019-02-20 21:48:31,pre
40,rosti-il,2019-12-31 23:00:35,pre
41,saturnism,2019-07-18 12:05:44,pre
42,slawekjaranowski,2019-07-15 11:40:06,pre
43,srdo,2019-10-11 22:11:55,pre
44,sultan,2022-10-22 15:25:30,post
45,sungpeo,2021-09-02 02:32:18,post
46,thelproad,2019-08-17 07:21:49,pre
