,login,start_date,era
0,1AB9502,2019-07-11 16:26:29,pre
1,7vikpeculiar,2022-03-10 02:46:32,post
2,AAfghahi,2021-02-03 15:14:29,during
3,AlexRRR,2019-02-01 13:57:15,pre
4,AndVK,2022-09-15 10:39:31,post
5,Antonio-RiveroMartnez,2022-06-23 13:28:55,post
6,Bonifacio2,2021-05-08 21:48:51,post
7,Caahlo,2019-11-26 10:13:15,pre
8,ChristopherCFleming,2021-12-13 20:04:50,post
9,CoryChaplin,2019-06-11 10:07:30,pre
10,DLT1412,2022-03-07 06:54:27,post
11,Damans227,2021-11-01 19:03:26,post
12,DanRoscigno,2022-05-25 21:11:31,post
13,EBoisseauSierra,2020-08-26 09:20:31,during
14,ETselikov,2021-07-20 14:12:08,post
15,EugeneTorap,2022-01-23 04:19:42,post
16,Gwitchr,2022-03-23 17:59:31,post
17,JakobMiksch,2022-05-09 16:33:30,post
18,JasonD28,2020-06-18 18:39:50,during
19,JosueLugaro,2021-12-13 22:00:09,post
20,KKcorps,2019-08-07 10:38:58,pre
21,KilimAnnejaro,2019-01-07 17:24:58,pre
22,MaiTiano,2019-09-18 08:43:58,pre
23,MatanBobi,2021-05-18 12:47:17,post
24,MaxHuiYYDS,2021-08-05 06:52:34,post
25,MayUWish,2021-12-15 06:30:58,post
26,PApostol,2021-10-29 09:11:33,post
27,PMExtra,2020-11-19 11:53:35,during
28,Paulo-Eduardo,2022-08-18 21:42:17,post
29,Renderz,2022-06-02 02:23:38,post
30,TheLastSultan,2019-05-06 16:30:03,pre
31,Usiel,2022-07-12 11:05:27,post
32,Yann-J,2022-07-15 11:46:31,post
33,a5net,2021-01-24 14:47:03,during
34,aadel,2020-12-14 13:50:26,during
35,aakashnand,2021-04-18 09:36:08,during
36,abhishekjog,2021-07-15 06:20:20,post
37,ad-m,2022-01-19 12:51:19,post
38,agatapst,2020-11-20 09:31:25,during
39,agl-developer,2022-08-17 19:16:00,post
40,akovalyov,2019-01-15 23:11:48,pre
41,alexandersimoes,2021-04-05 15:48:30,during
42,alexkreidler,2021-04-06 03:56:49,during
43,ali-bahjati,2020-01-09 11:55:20,pre
44,aminadha,2021-06-27 12:03:57,post
45,amitmiran137,2020-06-21 04:55:15,during
46,ancasarb,2021-09-05 18:49:31,post
47,andreas-eberle,2021-02-01 11:28:55,during
48,andrewbastian,2021-05-26 22:09:00,post
49,andrewmusselman,2019-04-23 21:38:08,pre
50,aniaan,2021-09-07 16:05:28,post
51,arthurpduarte,2019-08-07 17:44:49,pre
52,asif-ir,2020-03-11 11:03:24,pre
53,atronchi,2022-03-14 20:46:13,post
54,atticoos,2022-06-05 04:30:00,post
55,audour,2021-09-01 14:34:37,post
56,austinpray,2019-10-24 12:42:17,pre
57,auxten,2020-03-18 08:53:07,pre
58,avakarev,2022-02-09 22:34:20,post
59,avlihachev,2022-08-03 11:56:02,post
60,axelet,2020-03-24 11:37:08,pre
61,azhar22k,2020-01-30 05:07:45,pre
62,bawantha,2021-02-12 06:34:48,during
63,bearcage,2019-04-17 19:10:19,pre
64,belgren,2021-10-09 00:08:58,post
65,benvdh,2019-08-14 20:32:57,pre
66,bipinsoniguavus,2019-04-23 13:46:37,pre
67,bkyryliuk,2019-05-01 02:27:15,pre
68,blcksrx,2019-11-23 06:46:49,pre
69,bmfs,2019-06-20 19:21:52,pre
70,brayanarrieta,2020-07-04 18:03:07,during
71,brnnnfx,2022-01-08 17:05:44,post
72,bryanck,2021-01-20 14:05:15,during
73,bryanjtc,2022-09-07 02:38:36,post
74,brylie,2020-09-23 08:49:01,during
75,bungoume,2021-04-25 12:17:32,during
76,cancan101,2022-03-07 18:42:10,post
77,caviliar,2021-11-30 01:47:17,post
78,cccs-Dustin,2022-07-28 18:44:45,post
79,cccs-jc,2021-03-29 18:23:36,during
80,cccs-joel,2021-11-24 16:56:24,post
81,cdmikechen,2019-12-03 00:31:05,pre
82,cdreier,2022-07-22 14:49:02,post
83,cemremengu,2022-03-26 10:07:26,post
84,ceohockey60,2020-04-20 23:47:31,during
85,cgivre,2019-01-07 03:35:41,pre
86,cheunhong,2021-02-14 09:54:38,during
87,chinhngt,2019-01-04 17:25:38,pre
88,christophlingg,2019-10-10 09:10:38,pre
89,codemaster08240328,2022-02-16 13:30:59,post
90,coderfender,2019-10-03 17:08:20,pre
91,codyml,2022-06-08 20:59:19,post
92,connor924,2019-04-19 22:59:04,pre
93,corbinrobb,2021-05-24 00:10:07,post
94,ctSkennerton,2021-02-18 08:32:10,during
95,danielewood,2021-03-01 20:37:45,during
96,datability-io,2019-01-19 17:26:24,pre
97,dbz10,2021-02-10 16:46:49,during
98,dd-willgan,2021-09-07 20:43:12,post
99,derari,2020-01-29 07:35:50,pre
100,dflionis,2019-05-29 16:19:13,pre
101,didva,2021-03-19 22:47:40,during
102,diegoauad,2022-06-03 19:57:59,post
103,diegomedina248,2022-03-07 23:15:29,post
104,dinsaw,2019-11-07 10:11:40,pre
105,dkrat7,2022-06-19 19:23:52,post
106,donbowman,2019-01-31 18:41:11,pre
107,dpgaspar,2019-03-17 19:34:43,pre
108,dreglad,2021-09-22 04:55:38,post
109,dserkowski,2019-06-27 21:43:45,pre
110,dsztykman,2021-07-29 17:49:11,post
111,dungdm93,2021-02-13 08:32:24,during
112,duynguyenhoang,2021-01-08 18:51:12,during
113,ecederstrand,2022-08-15 12:37:41,post
114,einatbar,2021-05-05 07:30:13,post
115,elukey,2019-03-28 15:11:07,pre
116,enricoberti,2019-03-20 10:48:37,pre
117,eric-briscoe,2022-04-02 17:13:35,post
118,etr2460,2019-05-23 21:46:26,pre
119,exemplary-citizen,2021-04-25 21:44:36,during
120,frafra,2021-09-22 13:20:01,post
121,francishemingway,2019-10-27 18:36:02,pre
122,garden-of-delete,2021-08-05 21:40:35,post
123,gbrian,2022-06-06 05:45:21,post
124,geido,2020-11-30 18:08:48,during
125,gforien,2022-07-26 07:50:43,post
126,haaspt,2019-02-07 19:51:35,pre
127,hughhhh,2022-01-14 20:17:00,post
128,iercan,2022-09-27 18:47:42,post
129,jagamts1,2020-08-31 15:22:33,during
130,jawabuu,2021-04-17 05:45:22,during
131,jayakrishnankk,2021-02-03 21:07:07,during
132,jfrag1,2021-01-19 17:32:43,during
