,login,start_date,era
0,2ZeroSix,2019-12-22 21:20:10,pre
1,Abhishek01039,2021-01-19 04:50:43,during
2,AesSedai101,2022-03-31 08:37:11,post
3,Alabhya268,2021-04-14 14:08:42,during
4,AlexV525,2020-03-26 09:59:14,pre
5,Amitpatil215,2020-10-31 18:21:06,during
6,Anas35,2021-03-07 04:18:38,during
7,AyushBherwani1998,2020-03-18 11:11:57,pre
8,Bonsai11,2021-07-27 15:33:33,post
9,Calamity210,2021-05-03 12:57:20,post
10,CareF,2020-06-05 03:37:07,during
11,CaseyHillers,2019-11-04 22:29:16,pre
12,ChoiAhHyun,2020-08-04 15:30:22,during
13,CoderDake,2022-03-23 14:38:04,post
14,ColdPaleLight,2019-03-16 08:38:03,pre
15,DanTup,2022-04-06 16:39:10,post
16,DanielEdrisian,2020-09-16 18:54:58,during
17,Hamdor,2021-05-14 15:48:27,post
18,Hari-07,2022-02-15 15:57:43,post
19,HeavenOSK,2019-03-09 07:18:40,pre
20,HelloCore,2021-04-08 15:54:17,during
21,Im-Kevin,2020-08-20 11:48:41,during
22,Inconnu08,2019-09-05 10:25:58,pre
23,Jasguerrero,2022-01-25 19:00:26,post
24,Jjagg,2020-05-12 14:02:25,during
25,JoseAlba,2019-09-30 13:38:19,pre
26,JsouLiang,2021-12-10 02:55:09,post
27,JuYeong0413,2020-06-05 12:22:27,during
28,Kavantix,2019-10-02 13:05:28,pre
29,LongCatIsLooong,2019-03-25 17:54:11,pre
30,M97Chahboun,2022-03-06 13:49:57,post
31,MitchellGoodwin,2022-07-14 20:33:45,post
32,Mokusesei,2020-10-29 15:50:48,during
33,Moluram,2021-05-03 13:44:16,post
34,MrBirb,2021-03-07 13:06:26,during
35,NWalker1208,2021-01-01 19:38:18,during
36,Nash0x7E2,2020-01-18 19:51:26,pre
37,Piinks,2019-02-04 18:59:50,pre
38,PixelToast,2020-05-14 21:26:41,during
39,Pragya007,2020-07-12 11:28:34,during
40,QuncCccccc,2022-03-22 23:21:56,post
41,Renzo-Olivares,2020-06-16 18:57:26,during
42,RoyARG02,2020-10-06 14:43:07,during
43,Sunbreak,2019-11-30 16:43:16,pre
44,Swiftaxe,2021-07-31 19:57:24,post
45,TahaTesser,2021-04-03 21:42:49,during
46,ValentinVignal,2021-04-27 14:16:00,during
47,WasserEsser,2020-03-05 22:43:19,pre
48,XilaiZhang,2022-03-14 22:44:42,post
49,YeungKC,2020-09-08 01:58:42,during
50,Yugue,2021-09-08 15:00:09,post
51,Zazo032,2020-05-15 15:38:23,during
52,a-wallen,2022-07-15 22:45:12,post
53,abrush21,2020-07-30 21:50:21,during
54,adazh,2019-01-14 23:43:30,pre
55,agordeev,2019-10-20 09:30:40,pre
56,amanv8060,2020-09-14 16:05:03,during
57,andreidiaconu,2021-01-05 09:23:18,during
58,andrewkolos,2022-08-26 17:44:10,post
59,angjieli,2019-10-21 21:11:46,pre
60,ankur2136,2022-08-12 16:44:54,post
61,annagrin,2020-01-10 01:21:52,pre
62,antholeole,2022-05-18 00:10:43,post
63,apwilson,2021-06-17 15:49:08,post
64,ardera,2021-02-18 12:17:20,during
65,asashour,2021-06-18 13:19:29,post
66,balvinderz,2020-08-26 14:51:57,during
67,bdero,2022-06-23 19:02:29,post
68,bernaferrari,2022-04-18 02:52:37,post
69,bikcrum,2020-10-03 05:39:52,during
70,bjartebore,2021-10-01 17:56:03,post
71,bleroux,2019-10-02 12:14:21,pre
72,brianquinlan,2022-02-07 20:01:10,post
73,broccolism,2020-08-01 10:41:55,during
74,bryanoltman,2022-05-09 17:14:03,post
75,camsim99,2021-09-27 23:13:54,post
76,canastro,2021-03-03 09:44:10,during
77,caseycrogers,2021-05-03 19:34:03,post
78,chaselatta,2020-04-30 19:43:28,during
79,chingjun,2019-03-14 23:01:52,pre
80,chinmoy12c,2020-09-24 08:08:11,during
81,christian-muertz,2019-08-05 19:02:28,pre
82,christopherfujino,2019-03-25 21:36:37,pre
83,chunhtai,2019-03-01 18:14:10,pre
84,clarkezone,2020-08-08 16:19:15,during
85,craiglabenz,2021-03-16 00:00:54,during
86,creativecreatorormaybenot,2020-10-28 23:55:54,during
87,crisboarna,2020-12-13 08:19:53,during
88,daadu,2021-03-06 06:22:57,during
89,darrenaustin,2019-04-17 19:12:23,pre
90,davidmartos96,2019-08-02 17:14:42,pre
91,dcharkes,2021-11-19 12:59:18,post
92,ditman,2019-08-29 00:47:51,pre
93,dkwingsmt,2019-02-26 21:47:32,pre
94,domesticmouse,2021-05-07 10:46:49,post
95,dratushnyy,2020-01-29 07:28:17,pre
96,dreveman,2020-04-21 13:03:08,during
97,drewroengoogle,2022-04-18 17:04:14,post
98,efortuna,2019-06-20 00:14:18,pre
99,egramond,2022-04-18 22:22:52,post
100,eliasyishak,2022-08-08 19:33:32,post
101,elliette,2021-08-11 23:20:05,post
102,emem365,2021-01-15 10:42:43,during
103,erickzanardo,2020-10-19 20:43:07,during
104,esarbanis,2019-02-25 14:11:23,pre
105,esouthren,2022-08-23 11:06:51,post
