,login,start_date,era
0,AK391,2022-01-04 21:10:47,post
1,AMontgomerie,2022-03-21 03:03:34,post
2,AdityaSoni19031997,2020-07-22 01:27:02,during
3,AkechiShiro,2021-10-10 16:46:22,post
4,AliOsm,2020-10-17 09:38:12,during
5,AndreaSottana,2020-10-15 15:42:42,during
6,AnugunjNaman,2022-05-10 12:29:24,post
7,Apoorvgarg-creator,2021-08-19 08:16:34,post
8,ArthurZucker,2022-04-13 10:57:40,post
9,AymenBer99,2022-10-12 08:08:52,post
10,Bearnardd,2022-10-03 21:52:17,post
11,BramVanroy,2022-09-12 11:31:08,post
12,ChainYo,2021-10-19 07:44:32,post
13,Craigacp,2020-11-30 21:11:51,during
14,D3xter1922,2022-10-07 09:17:21,post
15,Dahlbomii,2022-03-23 22:35:19,post
16,DavidNemeskey,2020-09-01 22:45:45,during
17,Davidy22,2022-10-06 05:01:58,post
18,DeepsMoseli,2020-07-01 00:20:32,during
19,DhavalTaunk08,2020-10-01 12:53:28,during
20,Ethan-yt,2020-09-27 06:17:46,during
21,F02934,2022-06-08 18:45:41,post
22,Fellip15,2022-04-19 19:12:48,post
23,FremyCompany,2020-09-30 11:25:49,during
24,HamidShojanazeri,2021-03-15 23:18:11,during
25,IMvision12,2022-09-25 14:12:09,post
26,JME-P,2020-08-05 15:15:49,during
27,JetRunner,2020-06-17 06:22:17,during
28,JingyaHuang,2022-07-01 09:32:11,post
29,JohnGiorgi,2022-03-29 20:09:06,post
30,JunnYu,2021-12-18 12:30:54,post
31,KMFODA,2020-10-02 09:52:05,during
32,KoichiYasuoka,2021-06-03 05:16:23,post
33,LSinev,2022-08-03 08:51:49,post
34,LysandreJik,2020-07-08 13:54:05,during
35,Mehrad0711,2020-07-10 20:22:19,during
36,Mustapha-AJEGHRIR,2022-09-21 20:33:08,post
37,Narsil,2020-08-06 11:15:12,during
38,NielsRogge,2020-08-11 09:36:57,during
39,NouamaneTazi,2022-06-12 12:44:41,post
40,PhilipMay,2020-07-23 18:10:47,during
41,Pradhy729,2020-06-26 21:48:01,during
42,Qbiwan,2021-01-02 12:16:30,during
43,RamitPahwa,2022-10-08 02:30:06,post
44,Ryou0634,2021-11-24 02:25:29,post
45,SBrandeis,2020-12-09 11:54:05,during
46,SD-13,2022-10-13 11:44:08,post
47,Saad135,2022-10-29 08:56:02,post
48,SaulLu,2021-02-24 11:35:05,during
49,SidJain1412,2020-08-19 11:35:38,during
50,SimplyJuanjo,2022-03-22 11:13:29,post
51,Tegzes,2022-09-19 17:10:35,post
52,TevenLeScao,2020-09-22 09:39:51,during
53,Threepointone4,2022-10-12 09:58:27,post
54,Timoeller,2020-12-13 10:11:20,during
55,VictorSanh,2021-06-23 22:57:36,post
56,ViktorAlm,2020-05-13 10:50:17,during
57,Wauplin,2022-08-29 10:11:25,post
58,WissamAntoun,2022-07-05 16:15:30,post
59,WybeKoper,2021-03-02 15:47:27,during
60,Xpiri,2022-06-09 12:47:55,post
61,Yard1,2021-07-15 19:54:26,post
62,abedkhooli,2021-01-06 10:59:36,during
63,abhilash1910,2020-10-02 16:35:29,during
64,abhishekkrthakur,2020-10-28 18:38:33,during
65,adelevie,2020-08-20 01:07:52,during
66,afcruzs,2020-07-16 04:28:52,during
67,agemagician,2020-11-19 22:08:58,during
68,ak314,2021-01-24 09:34:25,during
69,alaradirik,2022-06-08 08:52:17,post
70,alisafaya,2020-09-18 08:17:36,during
71,ameasure,2021-11-12 16:51:41,post
72,amodaresi,2020-08-14 17:28:29,during
73,amogkam,2020-10-08 00:37:49,during
74,amyeroberts,2022-04-22 10:56:48,post
75,anmolsjoshi,2022-04-04 22:29:36,post
76,anton-l,2021-10-21 19:25:15,post
77,aodiniz,2020-06-20 02:41:57,during
78,aphedges,2021-06-30 21:42:03,post
79,aretius,2020-06-02 17:45:57,during
80,ariG23498,2022-05-30 01:57:33,post
81,arnaudstiegler,2022-03-23 22:10:51,post
82,arnavsharma93,2020-07-03 06:40:51,during
83,astariul,2020-12-10 03:30:35,during
84,atturaioe,2022-07-28 17:55:44,post
85,avital,2020-10-29 18:32:21,during
86,ayaka14732,2022-03-25 05:52:10,post
87,banda-larga,2022-01-12 14:07:04,post
88,bashartalafha,2020-07-08 12:05:49,during
89,bayartsogt-ya,2021-07-04 18:28:15,post
90,bdalal,2020-11-17 16:06:50,during
91,benjamin-mlr,2020-07-25 17:39:27,during
92,bhadreshpsavani,2021-06-23 16:35:14,post
93,bhavika,2022-03-13 04:47:26,post
94,bhavitvyamalik,2021-04-04 07:42:52,during
95,binny-mathew,2020-08-04 21:18:16,during
96,bminixhofer,2020-11-16 10:45:50,during
97,bofenghuang,2022-06-03 16:09:38,post
98,brandenchan,2020-11-13 13:37:23,during
99,cakiki,2022-03-18 09:39:37,post
100,cccntu,2020-10-03 08:08:56,during
101,cceyda,2020-07-22 09:36:50,during
102,cedspam,2020-08-10 13:47:57,during
103,chrisliu298,2020-07-02 03:07:31,during
104,cimeister,2022-02-02 14:48:31,post
105,clefourrier,2022-03-16 09:34:31,post
106,code-review-doctor,2022-04-13 21:05:40,post
107,colindean,2022-08-19 22:36:14,post
108,csarron,2020-07-05 18:21:30,during
109,cwkeam,2022-03-18 05:36:46,post
110,d-miketa,2022-04-03 09:53:56,post
111,danielpatrickhug,2021-02-04 04:13:29,during
112,daspartho,2022-09-12 16:06:14,post
113,datquocnguyen,2022-05-12 09:39:56,post
114,davialvb,2022-10-20 23:04:16,post
115,davidleonfdez,2022-02-02 02:50:00,post
116,dblakely,2020-12-30 17:47:55,during
117,ddrm86,2021-10-05 08:06:25,post
118,divyanshugit,2022-07-22 06:21:14,post
119,dlwh,2022-03-06 05:57:45,post
120,donchev7,2020-10-07 13:33:07,during
121,donelianc,2022-06-16 19:41:27,post
122,dsblank,2021-04-27 16:00:23,during
123,duongna21,2022-07-08 06:40:14,post
124,dwyatte,2021-10-05 18:49:39,post
125,echarlaix,2021-11-05 13:11:43,post
126,edugp,2021-07-01 04:09:20,post
127,ekagra-ranjan,2022-08-27 13:04:03,post
128,elk-cloner,2020-10-30 15:26:54,during
129,elsanns,2020-08-05 07:56:10,during
130,eltoto1219,2020-07-14 00:46:11,during
131,fcakyon,2021-12-01 19:21:14,post
