,login,start_date,era
0,DarphBobo,2019-10-16 08:37:51,pre
1,Egor18,2019-08-21 04:32:34,pre
2,EstherAF,2019-10-17 16:00:11,pre
3,Kevin-CB,2021-10-04 12:24:36,post
4,Langer0416,2022-06-30 16:13:14,post
5,NotMyFault,2021-10-23 23:41:55,post
6,P4uline,2021-10-04 18:22:30,post
7,Pldi23,2021-09-29 11:35:28,post
8,Riliane,2022-04-12 12:56:01,post
9,Sangaibisi,2020-10-03 12:12:49,during
10,Si-So,2021-11-25 14:48:39,post
11,StefanSpieker,2019-07-27 13:19:32,pre
12,VirtualTim,2020-09-11 08:59:45,during
13,Zastai,2020-05-28 21:29:53,during
14,aHenryJard,2019-07-19 08:59:02,pre
15,agmt5989,2019-09-24 09:14:09,pre
16,alauregaillard,2021-10-01 15:07:19,post
17,alecharp,2021-01-20 10:09:13,during
18,aman-raza,2021-10-10 13:59:45,post
19,anafke,2019-10-16 19:36:00,pre
20,based2,2019-05-29 21:24:48,pre
21,basil,2019-06-04 05:39:17,pre
22,belingueres,2019-08-05 19:45:29,pre
23,benebsiny,2020-07-29 15:03:25,during
24,bozaro,2019-07-09 07:18:53,pre
25,calvinpark,2020-04-22 19:43:32,during
26,caseyduquettesc,2021-01-05 03:22:53,during
27,damianszczepanik,2022-02-12 18:43:15,post
28,darinpope,2020-10-21 16:59:41,during
29,dduportal,2021-06-18 13:33:15,post
30,eas5,2021-03-25 13:44:58,during
31,eltociear,2021-03-14 07:42:30,during
32,fedepell,2019-11-25 07:29:01,pre
33,felfert,2020-03-29 13:04:50,during
34,foxtrot9,2019-01-06 03:36:38,pre
35,fqueiruga,2019-10-31 10:34:44,pre
36,frankie139506,2022-02-21 03:37:06,post
37,glasswalk3r,2022-08-29 01:22:03,post
38,gnikonorov,2020-12-27 16:31:37,during
39,gulyaev13,2020-05-24 12:31:32,during
40,janfaracik,2021-08-10 14:04:16,post
41,jbleduigou,2020-02-17 19:49:37,pre
42,kevinlin18,2022-02-22 15:08:42,post
43,longngn,2019-03-18 16:49:14,pre
44,markawm,2019-02-14 14:13:43,pre
45,mcansozeri,2021-04-04 06:02:55,during
46,mustafau,2019-10-19 19:27:14,pre
47,nisarg1499,2019-01-31 15:19:42,pre
48,nxtn,2020-03-08 13:29:58,pre
49,offa,2021-06-30 14:47:49,post
50,res0nance,2019-05-23 15:18:13,pre
51,slide,2021-10-24 22:37:56,post
52,slonopotamus,2019-09-17 13:49:46,pre
53,stellargo,2020-01-02 10:53:32,pre
54,stikonas,2019-01-11 22:04:51,pre
55,takashiharano,2020-06-12 12:57:59,during
56,timja,2019-03-14 11:46:50,pre
57,tsparber,2019-10-30 13:50:47,pre
58,ventojna,2019-10-08 18:41:32,pre
59,zbynek,2019-03-12 21:48:33,pre
