,login,start_date,era
0,AndyTeas,2020-04-16 08:39:29,during
1,IsaacLK,2022-05-20 13:34:44,post
2,KouWakai,2021-12-20 14:39:29,post
3,MMeent,2021-06-04 13:45:41,post
4,Maxim-Mazurok,2022-06-17 01:30:42,post
5,Mozilla-GitHub-Standards,2019-03-28 03:44:02,pre
6,PinRathod,2021-10-16 17:05:57,post
7,Pldi23,2022-05-13 20:44:47,post
8,SaiKiranMukka,2021-11-24 07:09:03,post
9,SpartanApple,2022-10-30 22:26:18,post
10,a4lg,2019-02-09 06:39:37,pre
11,adenicole,2021-10-14 09:12:48,post
12,apeltop,2022-04-08 16:14:04,post
13,aplum,2020-06-03 16:02:46,during
14,baloone,2020-10-02 23:59:46,during
15,bhasto,2020-01-31 23:56:08,pre
16,calixteman,2020-06-30 13:09:38,during
17,deathy,2019-12-14 18:43:25,pre
18,dhuang612,2019-08-19 19:30:58,pre
19,eltociear,2021-03-24 14:17:03,during
20,emalysz,2020-05-29 16:12:27,during
21,emilio,2020-09-02 09:33:58,during
22,federicobond,2022-08-25 16:36:30,post
23,gdh1995,2020-09-05 18:59:39,during
24,hakubo,2020-11-03 06:42:41,during
25,havocbcn,2020-06-04 06:39:01,during
26,huzjakd,2019-10-01 09:25:07,pre
27,ineiti,2020-07-18 09:05:08,during
28,janekotovich,2021-10-08 17:02:54,post
29,justinribeiro,2021-02-01 21:57:29,during
30,kjenova,2021-09-09 21:48:51,post
31,kleins05,2019-05-22 10:34:03,pre
32,linfangrong,2021-07-08 09:53:34,post
33,luistak,2019-10-08 23:50:35,pre
34,mgrigis,2019-11-04 13:19:42,pre
35,mikemando,2021-10-15 15:19:57,post
36,mvasigh,2019-04-17 15:56:27,pre
37,nickyc975,2020-09-23 03:46:09,during
38,nikolas,2021-05-29 00:44:59,post
39,nisarhassan12,2020-03-19 12:20:47,pre
40,nmtigor,2022-09-21 15:00:43,post
41,phillipj,2020-07-30 07:40:16,during
42,quaoaris,2021-12-12 18:00:03,post
43,raghav-wd,2021-10-14 19:38:13,post
44,roiLeo,2021-01-27 10:08:09,during
45,serdnab,2021-10-18 23:32:04,post
46,srmagura,2022-09-12 23:44:41,post
47,staktrace,2020-08-12 18:35:28,during
48,stbensonimoh,2021-10-17 16:14:03,post
49,sylvestre,2020-06-29 15:44:51,during
50,symtalha14,2021-07-07 09:46:40,post
51,tamuratak,2019-10-06 02:57:26,pre
52,terurou,2019-03-10 03:41:43,pre
53,vlastimilmaca,2019-01-16 09:47:01,pre
54,wojtekmaj,2022-10-07 08:48:08,post
55,xelan,2020-04-22 12:20:15,during
56,yangjiang3973,2020-08-19 08:30:08,during
