,login,start_date,era
0,APrigarina,2019-07-10 14:27:32,pre
1,AleksandrPanov,2021-08-02 15:03:23,post
2,AoD314,2022-09-24 08:22:12,post
3,ChipKerchner,2020-01-27 16:01:10,pre
4,GArik,2020-02-06 15:10:16,pre
5,JulieBar,2021-07-20 12:25:05,post
6,JulienMaille,2019-12-17 11:32:07,pre
7,MaximMilashchenko,2020-07-07 08:53:34,during
8,OrestChura,2019-07-11 16:28:51,pre
9,SSteve,2019-05-09 00:09:03,pre
10,SamFC10,2021-03-01 03:33:00,during
11,SergeyIvanov87,2022-04-07 05:32:39,post
12,StefanBruens,2019-06-27 21:29:38,pre
13,UnaNancyOwen,2022-02-04 05:29:37,post
14,VadimLevin,2019-11-11 12:41:59,pre
15,WanliZhong,2022-06-13 01:54:55,post
16,YashasSamaga,2019-03-04 05:40:15,pre
17,Yosshi999,2020-03-22 11:55:01,pre
18,aDanPin,2019-10-02 16:03:07,pre
19,aitikgupta,2020-09-27 06:48:12,during
20,alex77g2,2022-10-19 09:16:43,post
21,anton-potapov,2019-04-16 09:10:54,pre
22,asenyaev,2021-06-23 16:20:47,post
23,ashishkrshrivastava,2020-03-04 02:56:50,pre
24,cabelo,2019-04-15 20:20:33,pre
25,cancerberoSgx,2019-08-01 22:29:31,pre
26,chrisballinger,2020-05-14 21:28:05,during
27,colejd,2020-11-06 15:47:43,during
28,cpoerschke,2022-04-03 19:39:25,post
29,cudawarped,2019-03-06 14:52:23,pre
30,cyyever,2020-02-29 10:41:41,pre
31,danielenricocahall,2019-06-17 23:23:39,pre
32,devnexen,2019-09-02 13:34:59,pre
33,dmallia17,2020-05-04 15:16:04,during
34,dvd42,2019-05-27 08:38:39,pre
35,eliteraspberries,2021-12-24 00:30:25,post
36,fengyuentau,2021-03-30 08:03:42,during
37,fpetrogalli,2020-12-17 09:42:50,during
38,ganesh-k13,2020-01-08 16:38:28,pre
39,gasparitiago,2021-04-02 14:28:54,during
40,hanliutong,2021-03-26 12:17:54,during
41,ivashmak,2020-06-15 12:30:40,during
42,komakai,2019-02-28 12:51:33,pre
43,liqi-c,2020-03-02 01:15:38,pre
44,ocpalo,2022-05-21 19:52:41,post
45,opencv-pushbot,2022-04-11 19:27:30,post
46,pmur,2019-07-10 16:39:00,pre
47,raaldrid,2021-01-07 18:38:03,during
48,rayonnant14,2019-07-10 07:51:53,pre
49,rogday,2021-05-12 08:58:51,post
50,sivanov-work,2021-04-26 08:37:00,during
51,sl-sergei,2020-07-14 15:46:45,during
52,smirnov-alexey,2019-01-18 12:43:39,pre
53,stefan-spiss,2022-08-09 14:08:24,post
54,sthalik,2021-09-25 04:35:09,post
55,tailsu,2019-02-12 12:04:03,pre
56,thangktran,2019-02-10 08:25:36,pre
57,themechanicalcoder,2019-10-02 03:37:56,pre
58,victor1234,2022-04-07 11:40:26,post
59,vrabaud,2021-02-08 15:59:03,during
60,zchrissirhcz,2020-12-23 04:13:52,during
61,zihaomu,2020-06-02 00:50:37,during
