,login,start_date,era
0,AndrewJack,2020-07-30 11:46:11,during
1,AntoineDoubovetzky,2019-04-06 20:29:11,pre
2,Esemesek,2020-04-06 13:54:12,during
3,EvanBacon,2021-10-18 22:20:32,post
4,Huxpro,2021-04-29 23:43:15,during
5,IanChilds,2020-08-28 01:32:37,during
6,JoshuaGross,2021-02-12 00:46:34,during
7,MaeIg,2021-12-07 22:19:43,post
8,Marcoo09,2022-03-29 19:13:36,post
9,PeteTheHeat,2020-01-10 21:06:57,pre
10,Pranav-yadav,2022-10-24 15:12:31,post
11,SidharthGuglani-zz,2019-07-18 08:10:29,pre
12,Simek,2020-03-18 18:27:09,pre
13,ZHUANGPP,2020-06-18 17:57:44,during
14,ZihanChen-MSFT,2022-07-06 20:48:41,post
15,aditya7fb,2020-05-14 15:34:46,during
16,aniketmathur,2022-02-09 02:55:22,post
17,calebmer,2019-05-23 01:27:01,pre
18,charlesbdudley,2021-07-29 21:23:38,post
19,chiaramooney,2021-12-02 23:11:42,post
20,chirag-singhal,2020-06-08 06:50:21,during
21,cipolleschi,2022-02-18 10:43:42,post
22,cortinico,2021-08-06 17:56:04,post
23,d16r,2022-06-15 17:25:32,post
24,dakshbhardwaj,2022-08-02 06:10:34,post
25,dhruvtailor7,2022-08-03 10:11:44,post
26,dmytrorykun,2022-05-04 14:32:01,post
27,ecreeth,2019-06-24 13:49:19,pre
28,emilioicai,2019-12-19 15:11:23,pre
29,ericlewis,2019-02-15 20:46:46,pre
30,fabriziobertoglio1987,2020-01-13 11:02:06,pre
31,fkgozali,2019-07-10 23:46:52,pre
32,fortmarek,2021-11-22 10:12:13,post
33,gabrieldonadel,2020-08-13 02:03:42,during
34,gedeagas,2020-03-02 09:42:04,pre
35,grit96,2020-12-17 11:49:41,during
36,hoxyq,2022-10-04 13:44:57,post
37,huntie,2022-07-08 15:20:53,post
38,iBotPeaches,2021-05-06 16:57:59,post
39,jacobp100,2020-12-07 16:18:35,during
40,jeswinsimon,2019-08-09 19:15:28,pre
41,joshuapinter,2019-04-21 23:38:35,pre
42,ken0nek,2021-08-02 08:23:21,post
43,leotm,2022-08-16 15:10:56,post
44,lucasbento,2019-04-11 09:37:27,pre
45,lunaleaps,2019-05-06 22:30:38,pre
46,matt-oakes,2019-01-12 22:55:54,pre
47,michalchudziak,2021-03-12 18:16:53,during
48,mikehardy,2019-04-18 21:55:30,pre
49,mweststrate,2020-03-04 11:20:09,pre
50,nadiia,2020-09-29 19:13:58,during
51,neildhar,2021-09-22 03:56:15,post
52,nossbigg,2019-01-24 08:12:52,pre
53,p-sun,2022-08-27 05:32:04,post
54,philIip,2021-07-28 17:22:50,post
55,priteshrnandgaonkar,2019-05-13 13:12:05,pre
56,retyui,2020-12-27 14:55:41,during
57,safaiyeh,2019-12-27 17:50:11,pre
58,satya164,2019-03-22 12:52:07,pre
59,shergin,2019-04-13 04:15:47,pre
60,sota000,2021-08-10 18:06:30,post
61,steveluscher,2020-08-31 16:41:52,during
62,vincentriemer,2021-10-22 21:58:04,post
63,wcandillon,2020-05-05 10:38:05,during
64,willholen,2019-10-03 00:22:54,pre
65,yungsters,2020-04-21 23:19:41,during
