,login,start_date,era,file_name
0,AndyTeas,2020-04-16 08:39:29,during,mozilla_pdf
1,IsaacLK,2022-05-20 13:34:44,post,mozilla_pdf
2,KouWakai,2021-12-20 14:39:29,post,mozilla_pdf
3,MMeent,2021-06-04 13:45:41,post,mozilla_pdf
4,Maxim-Mazurok,2022-06-17 01:30:42,post,mozilla_pdf
5,Mozilla-GitHub-Standards,2019-03-28 03:44:02,pre,mozilla_pdf
6,PinRathod,2021-10-16 17:05:57,post,mozilla_pdf
7,Pldi23,2022-05-13 20:44:47,post,mozilla_pdf
8,SaiKiranMukka,2021-11-24 07:09:03,post,mozilla_pdf
9,SpartanApple,2022-10-30 22:26:18,post,mozilla_pdf
10,a4lg,2019-02-09 06:39:37,pre,mozilla_pdf
11,adenicole,2021-10-14 09:12:48,post,mozilla_pdf
12,apeltop,2022-04-08 16:14:04,post,mozilla_pdf
13,aplum,2020-06-03 16:02:46,during,mozilla_pdf
14,baloone,2020-10-02 23:59:46,during,mozilla_pdf
15,bhasto,2020-01-31 23:56:08,pre,mozilla_pdf
16,calixteman,2020-06-30 13:09:38,during,mozilla_pdf
17,deathy,2019-12-14 18:43:25,pre,mozilla_pdf
18,dhuang612,2019-08-19 19:30:58,pre,mozilla_pdf
19,eltociear,2021-03-24 14:17:03,during,mozilla_pdf
20,emalysz,2020-05-29 16:12:27,during,mozilla_pdf
21,emilio,2020-09-02 09:33:58,during,mozilla_pdf
22,federicobond,2022-08-25 16:36:30,post,mozilla_pdf
23,gdh1995,2020-09-05 18:59:39,during,mozilla_pdf
24,hakubo,2020-11-03 06:42:41,during,mozilla_pdf
25,havocbcn,2020-06-04 06:39:01,during,mozilla_pdf
26,huzjakd,2019-10-01 09:25:07,pre,mozilla_pdf
27,ineiti,2020-07-18 09:05:08,during,mozilla_pdf
28,janekotovich,2021-10-08 17:02:54,post,mozilla_pdf
29,justinribeiro,2021-02-01 21:57:29,during,mozilla_pdf
30,kjenova,2021-09-09 21:48:51,post,mozilla_pdf
31,kleins05,2019-05-22 10:34:03,pre,mozilla_pdf
32,linfangrong,2021-07-08 09:53:34,post,mozilla_pdf
